time,cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,CPI
53.77113823,1344036334,2153641263,23212103,113633,4322986,413338,22853,14352,23255185,1045,1038,658,19746,77984,210067,0.6240762364
54.07154518,1344791659,2142207945,23034988,88532,5273405,384919,19456,4166,22723137,1258,866,983,36154,90370,187441,0.6277596263
54.37196186,1339067405,2146736111,22992736,110063,5524967,415413,21548,10399,23074430,1261,435,670,19832,86012,225386,0.623768985
54.67237975,1349991529,2158060436,23205777,57576,5371361,391432,18457,4933,22941221,1117,964,1383,46750,86076,159857,0.6255577955
54.97278861,1340454840,2135297572,22916367,144574,5760164,428497,23063,13478,23070337,2367,1012,622,35149,100292,220469,0.6277602043
55.27320301,1332257655,2115052933,22687005,108320,5600510,408371,23753,13894,23047055,3147,728,740,28598,101061,202399,0.6298932921
55.57362194,1344673479,2139507650,23011624,119074,5426090,417999,16741,1228,23021009,3225,521,580,62155,132454,309920,0.6284966913
55.87404563,1335092294,2103625943,23056376,150648,5281836,423043,27243,17195,23087167,3353,437,598,18939,95302,202820,0.6346624021
56.17448356,1327818962,2090484883,22949976,65654,6117592,396222,25253,16191,22938339,4389,653,1495,44916,76371,161234,0.6351727165
56.47488483,1340640192,2105880195,23075364,124888,6208299,428450,23511,1129,23182214,3481,608,851,35495,103469,300472,0.6366175033
56.77529681,1333556484,2079714568,23351814,142378,4908835,431726,33278,22026,23464618,3124,800,532,20777,70192,164928,0.6412209178
57.07571433,1334504966,2077303713,23297141,78757,5365921,402202,39019,27439,23098642,4968,931,692,19436,71348,155041,0.642421692
57.37616845,1336291144,2101609088,23226682,83483,5078744,402672,20471,14649,23448984,3374,1497,725,28135,82988,171709,0.6358419135
57.67657939,1341700946,2119690448,23241809,59379,5131881,375325,22784,15060,23207820,3321,1265,683,48592,68421,155251,0.6329702279
57.97699103,1331541399,2083106696,23344049,69013,4392614,375498,21406,19837,23206890,4553,1109,1009,60929,66328,157685,0.6392094085
58.27739847,1330113822,2080451343,23192106,89457,5255769,373602,42160,33110,23306081,4125,902,536,24008,68058,165086,0.6393390677
58.57782136,1336244288,2080386303,23574185,123668,4244597,409215,34077,22679,23587640,3788,905,581,17308,64712,145757,0.6423058478
58.8782328,1332907291,2072819566,23514129,143715,4279253,426609,33762,18348,23535880,6009,822,515,17401,62481,275570,0.6430406741
59.17864324,1344044376,2097246759,23065426,182377,6146851,400289,29235,2106,22857385,4202,786,3209,66650,150099,413515,0.6408613437
59.47906524,1340123504,2074745515,23302497,70523,5769137,419491,22703,11320,23216083,3555,1551,2421,54087,75031,160550,0.6459218706
59.77948077,1343180778,2078026478,23100838,133369,5477073,475812,34924,28407,23182614,3939,1025,877,24507,74195,159692,0.646373274
60.07996199,1342346900,2081371771,23384958,145900,4166285,391215,23431,6242,23390211,3607,926,1338,53187,143550,358367,0.6449337493
60.38038638,1336626918,2085314643,23323864,88283,5033412,417654,33488,31447,23264215,3619,950,1315,27559,61518,152804,0.6409713385
60.68079197,1335292199,2083823265,22891279,118713,5140993,389497,35511,24980,23092884,4095,1100,886,58238,75664,167952,0.6407895628
60.98122646,1340066937,2104523112,22900646,132602,6151336,450454,35887,19898,22849114,3544,1153,3286,26867,68697,321384,0.6367556286
